circuitdata_material_db_id,manufacturer,name,ipc_standard,ipc_slash_sheet,tg_min,dk,ul_94,cti,df,td_min,t260,t280,t300,mot,z_cte,z_cte_before_tg,z_cte_after_tg,dielectric_breakdown,water_absorption,thermal_conductivity,,ipc_sm_840_class,electric_strength
,Arlon,Diclad 880,4101,,,2.17,,,,,,,,,,,,,,,,,
,Arlon,GenClad 280,4101,,,2.8,,,,,,,,,,,,,,,,,
,Arlon,TC350,4101,,,3.5,,,,567,,60,,,,23,,,,,,,
,Arlon,TC600,4101,,,6.15,,,,572,,60,,,,35,,,,,,,
,Bergquist,MP/5052,4101,,90,6,,,,,,,,,,40,110,,,,,,
,Bergquist,CML/5052,4101,,90,7,,,,,,,,,,,,,,,,,
,Bergquist,HT/5052,4101,,150,7,,,,,,,,,,25,95,,,,,,
,Bergquist,CML/6061,4101,,90,7,,,,,,,,,,,,,,,,,
,Bergquist,MP/6061,4101,,90,7,,,,,,,,,,40,110,,,,,,
,Bergquist,CML/CU,4101,,90,7,,,,,,,,,,,,,,,,,
,Bergquist,HPL-03015,4101,,185,6.6,,,,,,,,,,35,85,,,,,,
,Bergquist,HR T30.20,4101,,,,,,,,,,,,,,,,,,,,
,Bergquist,HT-07006,4101,,,,,,,,,,,,,,,,,,,,
,Bergquist,MP-06503,4101,,,,,,,,,,,,,,,,,,,,
,Cambridge Nanotherm,Nanotherm LC 7W,4101,,150,,,,,,,,,,,,,,,,,,
,CeramTec,Rubalit 708S,4101,,,,,,,,,,,,,,,,,,,,
,CeramTec,Rubalit 710,4101,,,,,,,,,,,,,,,,,,,,
,CeramTec,Alunit,4101,,,,,,,,,,,,,,,,,,,,
,CeramTec,Aluminum Oxide (Al2O3),4101,,,,,,,,,,,,,,,,,,,,
,CHAOSHUN,CCAF-01 75um/CTI230,4101,,,4.2,,,,,,2,,,,,,,,,,,
,CHAOSHUN,CCAF/01/R 150um&CTI230,4101,,,4.2,,,,,,2,,,,,,,,,,,
,CHAOSHUN,CCAF/04/A 120um&CTI600,4101,,,4.2,,,,,,2,,,,,,,,,,,
,CHAOSHUN,CCAF/05 120um&CTI600,4101,,,4.24,,,,,,2,,,,,,,,,,,
,CHAOSHUN,CCAF/06 120Um&CTI600,4101,,,4.2,,,,,,2,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-AL-88/89 AD3,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-AL-88/89 AD2,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-AL-88/89 AD5,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-AL-88/89 AD8,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-AL-88/89 AD12,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-5100M9,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-3000M,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-9000IMC,4101,,,,,,,,,,,,,,,,,,,,
,Chin-Shi Electronic Materials TW,CS-1200M,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),EPA-M2CTI-2w,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),EPA-M1-1.5W,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),EPA-M0-1w,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),EPA-M3-3W,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),EPA-M3-4W,4101,,,,,,,,,,,,,,,,,,,,
,Dongli (HeShan DongLi Electronic),TCB-8 8W,4101,,140,,,,,,,,,,,,,,,,,,
,Doosan,DS-7408,4101,21,140,4.3,,,,320,,2,,,,58,,,,,,,
,Doosan,DS-7409D,4101,126,170,3.8,,,,360,,10,,,,45,,,,,,,
,Doosan,DS-7409S,4101,98,170,4.2,,,,350,,10,,,,20,,,,,,,
,Doosan,DS-7402H,4101,94,150,4.4,,,,370,,60,,,,45,,,,,,,
,Doosan,DS-7405,4101,21,135,4.3,,,,315,,2,,,,60,,,,,,,
,Doosan,DS.7408(LTF),4101,121,150,4.3,,,,350,,10,,,,45,,,,,,,
,Doosan,DS-7402BS,4101,94,150,,,,,,,,,,,,,,,,,,
,Doosan,DSFLEX-600,4204,,,,,,,,,,,,,,,,,,,,
,Doosan,DS-7402,4101,92,150,,,,,,,60,,,,,,,,,,,
,Doosan,DS-7409HGB,4204,,,,,,,,,,,,,,,,,,,,
,Dupont,Pyralux AP,4204,11,220,3.4,,,,,,,,,,25,40,,,,,,
,Dupont,Pyralux LF,4204,,,,,,,,,,,,,,,,,,,,
,Dupont,Pyralux FR,4204,,,,,,,,,,,,,,,,,,,,
,Dupont,Teclam FNC,4204,,,,,,,,,,,,,,,,,,,,
,Dupont,Pyralux TK,4204,,,,,,,,,,,,,,,,,,,,
,Elektro Isola,G-Etronax EP 11,4101,,,,,,,,,,,,,,,,,,,,
,EMC,EM-320,4101,129,175,4.7,,,,350,,,,,,55,290,,,,,,
,EMC,EM-825,4101,99,150,4.9,,,,340,,,,,,50,260,,,,,,
,EMC,EM-827,4101,126,175,4.8,,,,350,,,,,,45,260,,,,,,
,EMC,EM-320 (5),4101,121,150,4.7,,,,340,,,,,,60,300,,,,,,
,EMC,EM-220(5),4101,21,145,4.6,,,,310,,,,,,60,310,,,,,,
,EMC,EM-828,4101,130,170,3.8,,,,380,,,,,,50,250,,,,,,
,EMC,EM-888,4101,130,170,3.8,,,,380,,,,,,50,240,,,,,,
,EMC,EM-891,4101,,,3.7,v-0,,0.002,400,,60,,,2.2,45,200,,0.1,,,,
,EMC,EM-285,4101,128,150,4.3,,,,360,,,,,,50,250,,,,,,
,EMC,EM-370,4101,128,175,4.4,,,,385,,,,,,40,190,,,,,,
,EMC,EM-370D,4101,130,175,,,,,385,,,,,,40,200,,,,,,
,EMC,EM-370D,4101,,150,4.3,,,,340,,,,,,50,260,,,,,,
,EMC,EM-M1 20,4101,,140,5.9,,,,400,,,,,,25,90,,,,,,
,EMC,EM-M1 30,4101,,170,5,,,,370,,,,,,20,60,,,,,,
,EMC,EM-MP,4101,,120,5.3,,,,370,,,,,,30,150,,,,,,
,EMC,EM-280(H),4101,93,150,,,,,335,,,,,,,,,,,,,
,GORE,Speed Board C,4101,,,,,,,,,,,,,,,,,,,,
,Grace,MTC-97,4101,21,140,4.5,,,,305,,,,,,55,300,,,,,,
,Grace,GA-170-LE,4101,126,174,,,,,340,,30,,,,36,215,,,,,,
,Grace,GA-170-LL,4101,126,173,,,,,340,,15,,,,43,240,,,,,,
,Grace,GA-150-LL,4101,101,152,,,,,340,,20,,,,45,250,,,,,,
,Grace,GA-HF-17,4101,128,167,,,,,360,,60,,,,31,189,,,,,,
,Grace,GA-HF-15,4101,126,155,,,,,360,,60,,,,25,218,,,,,,
,Grace,GA/HF/14,4101,127,142,,,,,350,,60,,,,37,235,,,,,,
,Grace,GA-600F,4101,94,127,,,,,335,,60,,,,48,271,,,,,,
,Grand-Tag,Al9/PET50,4101,,,,,,,,,,,,,,,,,,,,
,Greenmark,AL-M-01 (1W),4101,,105,,,,,,,,,,,,,,,,,,
,Greenmark,AL-H-02 (3 w),4101,,105,,,,,,,,,,,,,,,,,,
,Greenmark,AL-H-03 (2.7W),4101,,130,,,,,,,,,,,,,,,,,,
,Greenmark,AL-H-04 (2.2W),4101,,170,,,,,,,,,,,,,,,,,,
,Greenmark,AL-H-05 (1.6W),4101,,105,,,,,,,,,,,,,,,,,,
,Greenmark,AL-H-06 (2W),4101,,105,,,,,,,,,,,,,,,,,,
,HANWHA,HGCS,4101,,,,,,,,,,,,,,,,,,,,
,HANWHA,"HGLO-S,",4101,,,,,,,,,,,,,,,,,,,,
,HANWHA,HGLO-D,4101,,,,,,,,,,,,,,,,,,,,
,HANWHA,HGLO-P,4101,,,,,,,,,,,,,,,,,,,,
,Hitachi,MCL-BE-67G (H),4101,,150,4.4,,,,340,,,,,,45,200,,,,,,
,Hitachi,MCL-E-679 (J),4101,,195,4.6,,,,340,,30,,,,35,180,,,,,,
,Hitachi,MCL-E-679 (W),4101,,205,4.7,,,,340,,30,,,,50,200,,,,,,
,Hitachi,MCL-E-679 FG (R),4101,,200,,,,,350,,60,,,,23,140,,,,,,
,Hitachi,MCL-e-679 FG (S),4101,,210,4.5,,,,350,,60,,,,20,130,,,,,,
,Hitachi,MCL-E-679F(R),4101,,190,,,,,,,60,,,,30,160,,,,,,
,Hitachi,MCL-E-700G (R),4101,,250,,,,,,,,,,,,,,,,,,
,Hitachi,MCL-E-705G,4101,,250,,,,,,,,,,,,,,,,,,
,Hitachi,MCL-E-705G (LH),4101,,250,,,,,,,,,,,,,,,,,,
,Hitachi,MCL-HE-679G(S),4101,,185,3.9,,,,370,,60,,,,35,200,,,,,,
,Hitachi,MCL-i-671,4101,41,240,4.2,,,,,,15,,,,50,200,,,,,,
,Hitachi,MCL-LX-67Y,4101,,190,3.5,,,,,,60,,,,55,300,,,,,,
,Innox,BSH-MX-25MP,4204,,,,,,,,,,,,,,,,,,,,
,Innox,BSH-MX-50MP,4204,,,,,,,,,,,,,,,,,,,,
,Innox,Innoflex,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MAH-0X-25NX,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MAH-1X-30NX,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MCC-2H-15PE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MCH-11-15NE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MCH-11-15NJ,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MCH-1H-15NE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MCH-1H-15NJ,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MDH-03-12NE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MDH-11-12NE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MDH-11-12NJ,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MDH-1H-12NE,4204,,,,,,,,,,,,,,,,,,,,
,INNOX,MDH-1H-12NJ,4204,,,,,,,,,,,,,,,,,,,,
,Isola,250HR,4101,101,150,4.3,,,,340,,15,,,,65,250,,,,,,
,Isola,FR406BC,4101,24,170,3.48,,,,300,,15,,,,70,260,,,,,,
,Isola,IS410,4101,129,180,3.97,,,,350,,,,,,65,250,,,,,,
,Isola,IS410BC,4101,129,180,3.97,,,,350,,,,,,65,250,,,,,,
,Isola,IS400,4101,101,150,3.9,,,,330,,10,,,,30,,,,,,,
,Isola,ED-130UV,4101,21,135,4.7,,,,,,,,,,,,,,,,,
,Isola,P96,4101,42,260,3.9,,,,416,,,,,,55,55,,,,,,
,Isola,IS620i,4101,30,225,3.59,,,,350,,60,,,,55,230,,,,,,
,Isola,370HR,4101,99|98|126|101,180,4.17,,,,340,,30,,,,45,230,,,,,,
,Isola,IS420,4101,101,170,4.04,,,,340,,10,,,,45,230,,,,,,
,Isola,IS680 3.20,4101,,200,3.2,,,,360,,60,,,,45,191,,,,,,
,Isola,FR-408,4101,126,180,3.9,,,,377,,,,,,70,220,,,,,,
710e48f0-a794-4a2f-a73e-e6ffce47583f,Isola,FR-408HR,4101,129,200,3.72,,,,360,,20,,,,65,220,,,,,,
,Isola,DE104,4101,21,135,4.6,,,,310,,30,,,,70,250,,,,,,
