circuitdata_material_db_id,manufacturer,name,ipc_standard,ipc_slash_sheet,tg_min,dk,ul_94,cti,df,td_min,t260,t280,t300,mot,z_cte,z_cte_before_tg,z_cte_after_tg,dielectric_breakdown,water_absorption,thermal_conductivity,,ipc_sm_840_class,electric_strength
,Nelco,N8000 S Glass,4101,70,250,3.7,,,,376,,30,,,,70,372,,,,,,
,Nelco,N9000 NH,4103,,,3.3,,,,,,,,,,,71,,,,,,
,Nelco,N9000 NX,4103,,,2.5,,,,,,,,,,,150,,,,,,
,Nelco,N9000 NY,4103,5,,2.2,,,,,,,,,,,260,,,,,,
,Nelco,N9338 NH,4103,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,MB-18-25-18-CEG,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,MB-18-25-18-FRP,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,MB-12-25-12-CEG,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,MB-12-20-12-CEG,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,SC-18-25-00-CEG,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,SC-18-25-00-FRP,4204,,,,,,,,,,,,,,,,,,,,
,Nippon Steel/Espanex,M-Type,4204,,,,,,,,,,,,,,,,,,,,
,Panasonic,MC-100,4101,21,150,4.4,,,,310,,,,,,55,290,,,,,,
,Panasonic,MC-100MS/EX,4101,21,137,4.77,v-0,3,0.018,310,15,1,,,,65,290,50,0.11,0.38,,,
,Panasonic,Megtron 2 (R-1577),4101,130,170,4.3,,,,380,,25,,,,34,200,,,,,,
,Panasonic,Megtron 4 (R-5725),4101,102,176,3.9,,,,360,,30,,,,35,265,,,,,,
,Panasonic,Megtron 6 (R-5775),4101,91,185,3.6,,,,410,,120,,,,45,260,,,,,,
,Panasonic,R-5775 (-50GHz),4101,91,185,3.6,,,,410,,120,,,,45,260,,,,,,
,Panasonic,Megtron 6 (R-5775N),4101,91,185,3.6,,,,410,,120,,,,45,260,,,,,,
,Panasonic,R-1755 D,4101,99,163,4.4,,,,345,,15,,,,43,236,,,,,,
,Panasonic,R-2125,4101,126,170,4.6,,,,380,,50,,,,33,210,,,,,,
,Panasonic,R-F700/705,4101,,,,,,,,,,,,,,,,,,,,
,Panasonic,R-F775,4204,11,343,3.2,,,,,,,,,,,,,,,,,
,Panasonic,R1566(W),4101,127,148,4.5,,,,350,,3,,,,40,180,,,,,,
,Panasonic,R1755C,4101,121,135,4.7,,,,370,,35,,,,50,260,,,,,,
,Panasonic,R1755M,4101,99,153,4.6,,,,355,,18,,,,40,240,,,,,,
,Panasonic,R1755V,4101,129,173,4.7,,,,350,,20,,,,44,255,,,,,,
,Panasonic,R1766,4101,21,150,4.6,,,,315,,,,,,,,,,,,,
,PIC,DF-170,4101,129,170,4.5,,,,350,,15,,,,55,260,,,,,,
,PIC,FL-140,4101,101,140,4.6,,,,320,,5,,,,45,250,,,,,,
,PIC,FL-150,4101,99,150,4.6,,,,350,,20,,,,45,240,,,,,,
,PIC,P138,4101,21,135,4.3,,,,310,,1,,,,55,290,,,,,,
,PIC,FL-170,4101,126,170,4.5,,,,350,,25,,,,45,230,,,,,,
,PIC,HF-140,4101,127,140,4.7,,,,350,,15,,,,45,250,,,,,,
,Polytronics,TCB-2 (3 W),4101,,135,,,,,,,,,,,,,,,,,,
,Polytronics,TCB-4 (4 W),4101,,140,,,,,,,,,,,,,,,,,,
,Polytronics,TCB-8 (8W),4101,,140,,,,,,,,,,,,,,,,,,
,Polytronics,TCB-2L (2w),4101,,130,,,,,400,,30,,,,,,,,,,,
,PTTC,TCB-2W,4101,,135,,,,,,,,,,,,,,,,,,
,PTTC,TCB-4W,4101,,140,,,,,,,,,,,,,,,,,,
,Rogers,RO3003,4103,,,3,,,,,,,,,,,,,,,,,
,Rogers,RO4350B,4103,11,280,3.48,,,,390,,,,,,35,,,,,,,
,Rogers,RO4003C,4103,10,280,3.38,,,,425,,,,,,46,,,,,,,
,Rogers,RO5870/5880,4103,,,2.33,,,,,,,,,,,,,,,,,
,Rogers,RO6002,4103,,,2.94,,,,,,,,,,,,,,,,,
,Rogers,RO UL22,4103,,,,,,,,,,,,,,,,,,,,
,Rogers,RO4500,4103,,,,,,,,,,,,,,,,,,,,
,Rogers,Ultralam 3000,4103,,,2.9,,,,,,,,,,,,,,,,,
,Rogers,Ro3006,4103,,,6.15,,,,,,,,,,,,,,,,,
,Rogers,RO3010,4103,,,10.2,,,,,,,,,,,,,,,,,
,Rogers,RO3035,4103,,,3.5,,,,,,,,,,,,,,,,,
,Rogers,RO3206,4103,,,6.15,,,,,,,,,,,,,,,,,
,Rogers,RO3210,4103,,,10.2,,,,,,,,,,,,,,,,,
,Rogers,RP4360,4103,,,6.15,,,,,,,,,,,,,,,,,
,Rogers,RO4350B TX,4103,,,3.48,,,,,,,,,,,,,,,,,
,Rogers,RO6035HTC,4103,,,3.5,,,,,,,,,,,,,,,,,
,Rogers,RO6006/6010,4103,,,6.15,,,,,,,,,,,,,,,,,
,Rogers,RO6202,4103,,,2.94,,,,,,,,,,,,,,,,,
,Rogers,RO6202PR,4103,,,2.9,,,,,,,,,,,,,,,,,
,Rogers,TMM3,4103,,,3.27,,,,,,,,,,,,,,,,,
,Rogers,TMM4,4103,,,4.5,,,,,,,,,,,,,,,,,
,Rogers,TTM10,4103,,,,,,,,,,,,,,,,,,,,
,Rogers,TTM10i,4103,,,,,,,,,,,,,,,,,,,,
,Rogers,RO4835,4103,,,,,,,,,,,,,,,,,,,,
,Rogers,RO4360G2,4103,,,,,,,,,,,,,,,,,,,,
,Shanghai global (Goldenmax International),GEM-R1,4101,,,,,,,,,,,,,,,,,,,,
,Shengyi,S0401,4101,21,140,4.6,,,,310,,2,,,,65,300,,,,,,
,Shengyi,S1000,4101,99,155,,,,,,,,,,,,,,,,,,
,Shengyi,S1000-2 (2B),4101,126,180,,,,,,,,,,,,,,,,,,
,Shengyi,S1000-2M,4101,126,180,4.6,,,,355,,30,,,,41,208,,,,,,
,Shengyi,S1130,4101,21,130,,,,,,,,,,,,,,,,,,
,Shengyi,S1141,4101,21,140,,,,,,,,,,,,,,,,,,
,Shengyi,S1141 150,4101,21,150,,,,,,,,,,,,,,,,,,
,Shengyi,S1141 170,4101,24,,,,,,,,,,,,,,,,,,,
,Shengyi,S1141 KF,4101,121,150,,,,,,,,,,,,,,,,,,
,Shengyi,S1150G/GB,4101,128,150,4.6,,,,355,,45,,,,40,230,,,,,,
,Shengyi,S1155 Halogen free,4101,127,135,4.7,,,,,,,,,,40.5,254,,,,,,
,Shengyi,S1165,4101,128,170,,,,,,,,,,,,,,,,,,
,Shengyi,S1170,4101,124,170,,,,,,,,,,,,,,,,,,
,Shengyi,S1600,4101,21,130,,,,,,,,,,,,,,,,,,
,Shengyi,SAR15 1.5 W,4101,,140,,,,,,,,,,,,,,,,,,
,Shengyi,SAR20 2W,4101,,140,,,,,,,,,,,,,,,,,,
,Shengyi,SH260,4101,40,250,4.2,,,,429,,60,,,,12,45,,,,,,
,Shengyi,Synamic4 (S7439),4101,,200,3.85,,,,380,,,,,,45,210,,,,,,
,Shinemore,SM730M,4101,24,,,,,,,,,,,,,,,,,,,
,Shinemore,SM 730-5,4101,24,,,,,,,,,,,,,,,,,,,
,Sumitomo,ELC-4765!,4101,,,,,,,,,,,,,,,,,,,,
,Taconic,CER10,4101,,,,,,,,,,,,,,,,,,,,
,Taconic,RF-35,4101,,,,,,,,,,,,,,,,,,,,
,Taconic,RF-60,4101,,,,,,,,,,,,,,,,,,,,
,Taconic,TLC-32-0310,4101,,,3.2,,,,,,,,,,70,70,,,,,,
,Taconic,TLX-0,4101,,,2.45,,,,,,,,,,,,,,,,,
,Taconic,TLX-6,4101,,,2.65,,,,,,,,,,,,,,,,,
,Taconic,TLX-7,4101,,,2.6,,,,,,,,,,,,,,,,,
,Taconic,TLX-8,4101,,,2.55,,,,,,,,,,,,,,,,,
,Taconic,TLX-9,4101,,,2.45,,,,,,,,,,,,,,,,,
,Taconic,TLY-5,4101,,,2.17,,,,,,,,,,,,,,,,,
,TaiFlex,THKS (SS HF),4201,,,,,,,,,,,,,,,,,,,,
,TaiFlex,THKD (HF DS),4201,,,,,,,,,,,,,,,,,,,,
,TaiFlex,2LPSE,4201,,320,,,,,,,,,,,,,,,,,,
,Thinflex,X-Type,4201,,,,,,,,,,,,,,,,,,,,
,Totking,T-112,4101,,170,,,,,,,,,,,,,,,,,,
,Totking,T-111,4101,,100,,,,,,,,,,,,,,,,,,
,TUC,TU-752 (=768),4101,126,180,,,,,350,,,,,,,,,,,,,
,TUC,TU-722,4101,124,175,4.5,,,,330,,5,,,,,,,,,,,
,TUC,TU-742 HF,4101,128,150,4.7,,,,370,,60,,,,,,,,,,,
,TUC,TU-668,4101,101,150,4.3,,,,340,,10,,,,,,,,,,,
,TUC,TU-611-5,4101,21,135,4.2,,,,310,,,,,,,,,,,,,
,Uniplus,UP-HTC,4101,,145,4.5,,,,330,,10,,,,,,,,,,,
,Uniplus,UP-150 (5H),4101,93,150,4.7,,,,330,,30,,,,,,,,,,,
,Uniplus,UP-170 (9U),4101,129,175,4.5,,,,350,,30,,,,,,,,,,,
,Uniplus,UP-170 (5LC),4101,99,155,4.4,,,,335,,15,,,,,,,,,,,
,Uniplus,UP-170 5L,4101,124,155,4.5,,,,330,,15,,,,,,,,,,,
,Ventec,VT-42,4101,21,125,,,,,,,,,,,,,,,,,,
,Ventec,VT-42C (CTI 600),4101,21,125,4.8,,,,,,,,,,55,280,,,,,,
,Ventec,VT-42F,4101,21,120,4.8,,,,305,,2,,,,35,190,,,,,,
,Ventec,VT-45,4101,26,175,5.4,,,,290,,,,,,50,270,,,,,,
,Ventec,VT-47,4101,126,170,4.5,,,,345,,10,,,,,,,,,,,
,Ventec,VT-481,4101,101,150,4.5,,,,325,,25,,,,,,,,,,,
,Ventec,VT-4A1 (1.0W/Km),4101,,,,,,,,,,,,,40,190,,,,,,
,Ventec,VT-4A2 2.2W/Kw,4101,,,,,,,,,,,,,50,250,,,,,,
,Ventec,VT-901,4101,42,250,4,,,,390,,,,,,50,270,,,,,,
,WL (China),"WL-L-1-2 1,2W",4101,,,,,,,,,,,,,40,220,,,,,,
,WL (China),WL-L-1-1 1 W,4101,,,,,,,,,,,,,50,250,,,,,,
,WL (China),"WL-l-2-1 1,5W",4101,,,,,,,,,,,,,45,220,,,,,,
,WL (China),WL-l-2-2 2.2W,4101,,,,,,,,,,,,,,,,,,,,
,Zhejiang Huazheng,H130,4101,,,,,,,,,,,,,40,220,,,,,,
,Zhejiang Huazheng,HA50 Type 3 (2.2W),4101,,122,5.9,,,,,,,,,,,,,,,,,
,Zhejiang Huazheng,HA50,4101,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000BN/CA-40 BN LPI (1MHz),,,,3.0,v-0,,0.029,,,,,,,,,,,,,,19.7
,AMC (TW),SR-6000 /CA-60,,,,,v-0,,,,,,,,,,,,,,,,
,Dongguan Langban,LB-1900W,,,,,,,,,,,,,,,,,,,,,
,Electra,Carapace EMP 110,,,,4,v-0,,,,,,,,,,,,,,,,134
,Electra,SPSR 5600,,,,,v-0,,,,,,,,,,,,,,,,
,Eternal,780 HB,,,,,v-0,,,,,,,,,,,,,,,,
,Fotochem,FSR-8000,,,,,,,,,,,,,,,,,,,,,
,Gin Hwa,GH8001,,,,,,,,,,,,,,,,,,,,,
,Goo Chemicals,PSR550B,,,,,v-0,,,,,,,,,,,,,,,,
,Greencure,LM-600,,,,,,,,,,,,,,,,,,,,,
,Greencure,LM-600 TSG1,,,,,,,0.04,,,,,,,,,,,,,,0.27
a3336071-cd20-422f-ad22-3ff8965e44b0,Greencure,Greentec 600 AA ?,,,,,,,,,,,,,,,,,,,,,
,HongDa,HD-500,,,,,,,,,,,,,,,,,,,,,
,HongDa,HD-500G,,,,,,,,,,,,,,,,,,,,,
,Huntsman,Probimer 65,,,,3,v-0,,2.6,,,,,,,,,,,,,,150
cb2bc469-e49a-4f0c-8db6-7127a966fc0f,Huntsman,Probimer 77,,,,3.8,v-0,,3,,,,,,,,,,,,,,120
528b2eee-d94e-4b8d-b7a8-3a90c6d5e286,Huntsman,Probimer 77,,,,3.8,,,2.6,,,,,,,,,,,,,,150
,Huntsman,XB721 01,,,,,,,,,,,,,,,,,,,,,
,Huntsman,XB 5721,,,,4.4,,,0.8,,,,,,,,,,,,,,26
,Kuangshun,KSM6188/89,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500,,,,,,,,,,,,,,,,,,,,,
,Onstatic,R-500 WH,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 GA,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 G,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 GAH,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 GHB,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 GH,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 T3D,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 G28K,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 Z,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 Z (Spray),,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 ICG,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 SP,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 ZSP,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 HDI-1000,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,S-300,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 M-211,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,UV-501,,,,,v-0,,,,,,,,,,,,,,,,
,Onstatic,R-500 FP,,,,,,,,,,,,,,,,,,,,,
,Onstatic,R-500 FM,,,,,,,,,,,,,,,,,,,,,
,Peters,SD 2xxx,,,,,,,,,,,,,,,,,,,,,
,Peters,Elpemer® 2469 SM-HF,,,,3.0,v-0,,0.009,,,,,,,,,,,,,,175
,Peters,SD 2348 UV-SM,,,,,v-0,,,,,,,,,,,,,,,,81
,Peters,SD 2368 UV-SM,,,,,v-0,,,,,,,,,,,,,,,,128
,Peters,SD 2368 UV-SM-DG,,,,,v-0,,,,,,,,,,,,,,,,110
,Peters,SD 2444 NB-M,,,,,v-0,,,,,,,,,,,,,,,,64
,Peters,SD 2446,,,,,v-0,,,,,,,,,,,,,,,,64
,Peters,SD 2496 TSW,,,,,v-0,,,,,,,,,,,,,,,,96
,Peters,SD 2460/201 UV-FLEX,,,,,v-0,,,,,,,,,,,,,,,,120
,Peters,SD 2463 FLEX-HF,,,,4.9,v-0,,0.072,,,,,,,,,,,,,,96
,Peters,SD 2462 NB,,,,,v-0,,,,,,,,,,,,,,,,143
,Peters,SD 2442 NB-M,,,,,v-0,,,,,,,,,,,,,,,,86
,Peters,SD 2452 NB-M,,,,,,,,,,,,,,,,,,,,,136
,Peters,SD 2462 NB-M,,,,,v-0,,,,,,,,,,,,,,,,136
,Peters,SD 2491 SG-TSW-R4,,,,,,,,,,,,,,,,,,,,,
,Peters,SD 2491 SG-TSW-R5 series,,,,,v-0,,,,,,,,,,,,,,,,105
,Peters,SD 2491 SD 2491 SM-TSW-R6-B,,,,,v-0,,,,,,,,,,,,,,,,105
,Peters,SD 2491 SD 2491 SG-TSW-R7,,,,,v-0,,,,,,,,,,,,,,,,110
,Peters,Elpemer® AS 2467,,,,3.7,v-0,,29,,,,,,,,,,,,,,160
,Rogers,R/Flex 8080 LPI Covercoat,,,,,,,,,,,,,,,,,,,,,19.7
,ROHM and HAAS,Ronacoat OPSR 5900-CC series,,,,,,,,,,,,,,,,,,,,,
,Rongda,H-9100 SP17,,,,,,,,,,,,,,,,,,,,,
43b32fa2-1cbc-49d5-abea-051a6ed5cc10,Rongda,H-8100,,,,,,,,,,,,,,,,,,,,,
,Rootlike,RT-100,,,,,v-0,,0.02,,,,,,,,,,,,,,39.4
,Shengyi,SF305C,,,,,v-0,,,,,,,,,,,,,,,,
,Sun Star,L-S8600Y,,,,,,,,,,,,,,,,,,,,,
,SunChemical,XV501T Imagecure,,,,,v-0,,,,,,,,,,,,,,,,160
,SunChemical,XV501T Spray,,,,4.55,v-0,,0.01,,,,,,,,,,,,,,100
,Taiyo,PSR-9000 FXT Seriers,,,,,,,,,,,,,,,,,,,,,19.7
,Taiyo,PSR-4000 LEW for LED(white),,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 LEW1 (US),,,,6.9,v-0,,0.039,,,,,,,,,,,,,,19.7
,Taiyo,PSR-4000 LEW3,,,,6.9,,,0.039,,,,,,,,,,,,,,
,Taiyo,PSR-4000,,,,3.9,v-0,,0.027,,,,,,,,,,,,,,19.7
,Taiyo,PSR-2000,,,,4.5,,,0.032,,,,,,,,,,,,,,
,Taiyo,LDI-1000FKG2,,,,,,,,,,,,,,,,,,,,,
,Taiyo,lDI-1000 SB01,,,,,,,,,,,,,,,,,,,,,
,Taiyo,LDI-1000 NK01,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 LDI (US),,,,3.9,v-0,,0.02,,,,,,,,,,,,,,19.7
ca098556-439b-4c39-8eb5-fdb5fb185e3e,Taiyo,SPR-4000 G23K,,,,4.9,,,0.03,,,,,,,,,,,,,,
,Taiyo,PSR-4000 AM10,,,,4.3,,,0.03,,,,,,,,,,,,,,
,Taiyo,PSR-4000 SP08T3 01,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 SP19A,,,,4.6,,,0.029,,,,,,,,,,,,,,
,Taiyo,PSR-2000 2P200KHF,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-2000 ECLiPSE ,,,,,v-0,,,,,,,,,,,,,,,,19.7
,Taiyo,PSR-2000 ME8H,,,,5.6,,,0.036,,,,,,,,,,,,,,
,Taiyo,PSR-2000 CE800YE,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 GEC50,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 GEC50K1,,,,4.8,,,0.042,,,,,,,,,,,,,,
,Taiyo,S-380W White,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-2000 FR603W1,,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 SN10 (ImmTin),,,,,,,,,,,,,,,,,,,,,
,Taiyo,PSR-4000 AUS308,,,,4.8,,,0.038,,,,,,,,,,,,,,
,Taiyo,PSR-4000 AUS320,,,,4.3,,,0.023,,,,,,,,,,,,,,
,Tamura,DSR 330xxx,,,,3.5,,,0.03,,,,,,,,,,,,,,19.7
c4959980-67a2-4575-874c-9c703860f57d,Tamura,DSR 330,,,,,,,,,,,,,,,,,,,,,
c865bf8b-aee9-42e1-bcc0-64542b294f24,Tamura,DSR 330,,,,,,,,,,,,,,,,,,,,,
,Tamura,DSR-2200,,,,3.5,,,0.03,,,,,,,,,,,,,,19.7
,TOYO CHEM,RA FS 039/045,,,,,,,,,,,,,,,,,,,,,
,TOYO CHEM,TSS100/200,,,,,v-0,,,,,,,,,,,,,,,,
2b83ec61-d208-47e5-a004-ffe542073a4a,,Standard LPI,,,,,,,,,,,,,,,,,,,,,
695b19a8-4a99-4694-a424-b8ea7b52b10a,,Standard Covercoat,,,,,,,,,,,,,,,,,,,,,
4a1c1e2f-e2e0-424d-9047-40ba2e384de0,,Standard Flexible LPI,,,,,,,,,,,,,,,,,,,,,
9597e55d-be51-4b1d-8d1b-f6dc3b015c3c,,Standard LPI Covercoat,,,,,,,,,,,,,,,,,,,,,
096052be-0c7f-46ce-9167-6be992cc196d,,Standard UV,,,,,,,,,,,,,,,,,,,,,
